"A","NEG-1","NEG-2","NEG-3","NEG-4","NEG-5","NEG-6","NEG-7","NEG-8","NEG-9","NEG-10","NEG-11","NEG-12","POS-1","POS-2","POS-3","POS-4","POS-5","POS-6","POS-7","POS-8","POS-9","POS-10","POS-11","POS-12","CON-1","CON-2","CON-3","CON-4","CON-5","CON-6","CON-7","CON-8","CON-9","CON-10","CON-11","CON-12"
1,79.1335672,96.9917469,98.1717044,101.28281,97.9141249,105.286565,96.6387971,104.431425,113.537488,113.113909,104.162872,101.566526,79.0468549,87.0759689,95.3743804,93.9447421,79.2822173,77.8948489,61.5738723,77.6934216,68.0507055,68.4793588,79.239352,76.7672525,76.9396542,76.4465901,80.9357773,75.4669132,78.8787323,77.3069178,88.0665437,85.8961401,83.1976511,78.4036398,82.984758,77.1195995
1,78.5866359,90.3164291,75.0553157,72.8291053,69.8108427,80.2663511,66.8296748,71.2288044,67.0475414,65.5214301,66.4367834,64.5674146,66.9908877,62.8534171,70.4381775,64.717989,72.8164965,77.6334643,63.912176,66.1426551,70.3734485,73.0487038,73.4524745,55.1918303,78.0184845,76.006857,75.5345994,67.7804803,67.0,67.5519778,63.2298565,67.3007402,68.7841357,60.1751469,60.8940375,56.8706385
1,84.787495,82.6750357,76.4386174,76.6645527,75.7034536,77.4335251,66.9290531,70.0124043,72.2995029,70.4134451,68.3009858,65.7114744,74.1307672,75.3114709,75.9897143,84.2387728,80.3124276,72.1579498,73.6423075,63.6369717,65.8297516,66.3026553,70.6567917,62.2518617,81.6553276,65.2754128,65.6645119,62.5987194,61.3012089,58.3979906,65.986578,61.2449629,57.9726783,64.1235255,59.9713377,43.5559802
1,73.9633299,66.5928402,62.9292539,75.2797247,79.9557531,91.9153924,92.4787576,99.7002075,108.796033,116.748243,78.9922568,81.6181941,77.9988467,79.6299963,75.1377584,60.8237802,58.0849889,62.4044083,74.1024148,77.3784768,77.8985004,71.4367926,66.7187755,50.6861932,65.1620044,65.1802276,46.7590488,40.7125853,42.7378561,51.0731557,44.9158183,50.2429443,45.4465935,39.0001784,35.198048,48.1284756
1,76.6000874,49.9123441,72.9160097,88.0787323,95.8938198,106.464647,93.9012987,90.9592351,91.2138236,84.6740043,74.3468218,75.1825452,96.7247462,83.1148982,76.6681951,78.049495,65.4904283,67.7461057,65.4120974,66.1470075,64.0963917,66.1896756,62.1425751,58.5024136,90.9871577,85.3674037,76.6420982,69.8814977,66.2287738,66.8728251,64.1865656,61.497981,59.8409635,58.7047672,58.2598991,58.6636905
1,52.8545583,37.4845325,54.717915,41.7247677,53.791357,52.5819032,34.2913954,36.6908885,35.8488151,58.6178647,42.5794284,41.3008508,143.889771,100.431375,146.560334,111.773269,144.142422,140.900248,91.8760825,98.3244194,95.3560466,160.919188,126.807766,109.78235,69.7298666,57.1215268,57.3316658,70.4242233,54.5671705,60.113044,55.7884912,55.0384566,59.1889712,73.6932318,42.7801689,53.8291696
1,90.7097668,108.349127,119.453354,127.173501,138.762587,138.181608,131.261993,128.201387,122.335552,127.798461,118.567698,112.45358,72.2729617,75.5738447,79.6764789,84.164097,81.0334993,86.2729827,81.4355326,73.8545734,64.3228054,68.1360178,59.8455013,72.0022733,91.8549397,87.065178,88.4224974,85.4643545,81.052558,78.1607559,78.1340671,87.3829026,69.6836099,76.0787703,76.1629037,69.7484257
1,78.5257101,75.0856644,75.3879143,70.3703504,63.5920865,70.6602086,64.4988363,64.4428042,60.0227361,61.1132063,62.3771605,62.8766001,78.1484625,78.8643518,73.451738,82.9812587,64.2666634,77.5818331,79.4170172,73.9066551,71.690253,69.867171,71.4576742,67.108499,89.1878587,76.2795245,66.2154579,60.5613487,62.0444163,63.1150617,68.8442194,63.0647999,64.3516399,63.4496814,60.5778731,61.7882876
1,98.4177639,93.4534123,82.4909859,83.403325,77.1859756,72.5244318,76.476596,68.1931052,65.9298778,66.5211362,64.5522327,63.8422006,72.1350215,69.5084388,64.9870767,63.72929,62.3671641,59.9540241,58.3436759,66.4530653,65.6721893,67.6427219,66.8546994,62.2795002,63.8953519,60.3772301,63.6844139,57.1833076,61.1781801,74.1632718,61.3276586,63.6420506,59.2740307,64.2862787,50.8213633,60.9683395
1,89.1174077,95.1324911,83.6341165,84.5958684,79.873275,72.7772,73.7502665,71.5630426,68.3209379,67.3992228,63.4738826,64.192803,75.2819562,70.2999001,80.1860847,71.8124267,69.0810076,68.0510859,83.2825335,86.2913326,78.6465189,76.2769396,82.7756237,82.3569711,65.3453503,80.3348726,73.049813,71.7087571,65.7866095,78.8632702,86.4839999,72.0566844,74.8796801,68.9157399,88.1415278,77.9337904
1,63.136653,61.3039959,64.4925159,57.347857,68.4915201,57.6601143,66.4794881,63.6612585,65.2367237,56.9666854,64.2343348,61.0336147,80.0815806,86.1050927,83.7398024,78.6345611,86.2020821,82.6815227,79.630658,75.8140463,75.4636329,78.8347973,79.7268653,77.2598925,93.9854416,84.5222942,78.9105455,71.0589862,70.3169224,63.3135857,62.6294901,61.7250453,61.8930136,60.6868543,65.60019,63.7954907
2,78.1654918,79.0983805,81.4574095,58.6657996,67.2510048,78.6670448,85.6739144,86.712994,72.876701,68.8469813,65.8480398,67.0929291,90.5425558,77.61132,66.9536515,63.9511599,85.169405,74.0965218,90.8735507,80.0422938,55.4633469,65.926464,46.573559,35.437419,111.549283,96.6835002,73.0040548,76.346855,66.9984806,66.5006651,74.9061984,62.2314852,87.426515,91.0219126,70.7119462,40.5535194
2,86.4539555,98.089879,91.2210665,105.27164,94.2997282,86.9374204,77.5790646,76.6823475,63.2509838,91.3675102,74.2349318,79.1150519,92.2304693,92.307327,104.845054,101.616169,105.881337,109.160309,115.349508,107.934041,94.6994132,85.9212339,84.6526509,70.6559239,82.4653323,64.3669471,88.2598204,79.8892454,85.2610353,93.3206971,72.4262495,86.5334432,80.6250135,89.0462692,70.6524266,90.8114656
2,91.1923359,78.0417223,89.4417713,83.763745,35.8335941,85.146846,85.7126038,60.9041589,67.9026996,65.7691795,62.4545705,70.6391575,59.4124032,48.3124607,60.6127717,54.090283,50.9514471,45.0028732,49.0169931,47.326991,49.9429916,54.8353142,42.1566499,48.3255954,79.9583885,80.7479587,84.031972,74.9373208,85.1246473,82.5561119,70.9894699,60.1427962,64.0809178,77.784264,69.8361735,67.8117305
2,80.2821396,91.8965284,90.0937147,80.4613488,66.2890169,78.6462814,72.9309891,94.7061812,80.3878271,91.1608007,79.7567657,88.2812001,82.287744,72.7675366,55.562316,52.7426507,42.5383565,66.5362078,64.8720352,63.044515,58.6111065,59.7808511,59.2327046,59.2666897,93.6985652,75.2020197,67.2105004,75.7901784,75.0411479,51.8230595,74.152633,55.2274059,68.5016599,47.4014079,53.043547,60.0777392
2,78.1611974,77.3871278,83.3224877,85.9756438,82.1703697,95.8513836,81.7569954,69.3601066,71.8137027,78.1952837,71.9240185,65.6062719,70.8630817,65.8120004,77.5636307,74.7990608,74.8012689,72.6847831,95.2396549,90.0240685,62.0294858,66.7184349,61.7302851,71.247295,75.2102829,73.9981716,78.6935725,84.0274745,83.3510185,83.1018622,112.36578,86.8661413,89.6056353,102.854379,83.9423819,67.8023238
2,72.8875428,96.4979325,98.0589831,99.4217589,111.388234,72.989596,92.0567926,100.781619,100.687219,89.5925705,87.020828,89.8998238,69.8172883,68.1494243,68.4930418,77.4277323,101.582357,92.5001748,74.7299694,77.4134281,71.6701526,81.6074051,103.953349,84.8334679,67.5143533,71.4988506,82.5465395,85.0914502,59.6175416,53.7636916,62.0025394,57.0667081,60.0151029,82.9292941,62.6470033,64.7899107
2,81.6475432,107.113231,103.065086,117.935965,125.724752,93.9844389,103.713827,113.295303,101.990338,99.0338081,104.724134,93.9788164,92.7356221,84.6644706,101.714314,88.9927393,73.8566082,70.2174809,73.1873213,69.557801,55.4310442,62.4492698,56.0414083,49.4567782,85.393549,79.5822039,84.6529557,71.8116933,70.7761558,80.5202557,46.1241949,53.2277238,52.7497451,57.8652607,51.5276914,41.2996444
2,52.9760156,44.7795046,53.2284833,51.2683401,88.3380585,56.8077313,52.8982058,66.5505039,74.2437349,79.2947458,66.1448999,65.7724065,65.87042,75.3084108,69.9919265,79.9208941,80.7627772,64.5820617,68.1060792,70.9304729,87.1286972,67.6402713,54.1336654,52.3794991,61.9117591,74.5574561,100.590441,101.82834,79.9368614,80.4721999,80.0164543,76.9789155,74.1304098,67.5000957,34.6768454,77.2046837
2,78.4999347,99.2499673,92.6381811,103.886058,111.015288,91.8933751,65.6160983,87.5787273,108.660656,104.466222,100.47563,105.336469,90.7160145,68.3642598,100.445744,132.402178,103.212989,101.621622,107.613957,90.3933038,79.8749496,61.187979,66.9806374,68.1363453,75.0542706,79.5552154,69.2539551,68.9993909,63.5239181,66.386594,68.9119333,71.5840765,58.8761694,60.48008,59.6195593,65.8712186
2,63.5124681,102.636907,154.51604,164.904244,135.921135,119.411539,107.404193,113.440828,100.524691,90.8192575,87.408095,85.4808656,108.66287,96.3089306,87.9083393,85.6704813,78.1607622,75.5812298,84.9175929,79.6435416,74.11871,60.8454252,60.3537206,54.9674205,94.8702762,85.9645336,83.5191311,83.2571236,91.9490441,81.3372417,77.1119956,82.4108698,72.3195687,85.4430284,73.3726177,84.6163499
2,70.0091172,67.8190911,76.2755443,69.6127686,67.0378381,62.797023,56.1559912,58.176644,62.6436716,62.7497206,60.4879779,64.9042698,73.5741235,80.8357144,76.9981215,67.7506433,70.3632374,82.3511769,67.2091812,72.5890729,76.0556932,67.1413011,67.5533174,64.3203309,70.3661207,79.8385727,93.3662581,72.6516116,62.6899436,59.0503809,64.6519281,62.9440939,63.1977787,59.318961,61.5918839,66.2783039
